f1,recall,precision
0.8632149479384535,0.8370677731673583,0.8910482921083628
0.8631968145615025,0.8395573997233748,0.8882060286801288
0.8631759166780566,0.8367911479944675,0.8912787271655863
0.8620146152738952,0.8320885200553251,0.8941736028537456
0.8625089605729773,0.8320885200553251,0.8952380952380953
0.8615562292473715,0.8254495159059474,0.9009661835748792
0.8619645175243819,0.8265560165975103,0.9005424954792043
0.862148856066689,0.8235131396957123,0.9045882710422364
0.862542955325961,0.833195020746888,0.8940338379341051
0.8606651376141795,0.8304287690179807,0.8931865516215413
0.8620788943271713,0.8282157676348548,0.8988291804262984
0.8628628628623634,0.8345781466113417,0.8931320307874482
0.8630431664988553,0.8323651452282158,0.8960690887432996
